player_id,total_deposit,total_withdrawal,num_deposits,num_withdrawals,total_games,loyalty_points,rank
Player_100,57341,7747,21,8,81,628.3580000000001,1
Player_015,47636,7309,16,7,100,532.914,2
Player_030,44964,6536,17,7,79,498.13,3
Player_083,38613,10743,14,10,96,459.04900000000004,4
Player_046,38243,6244,13,7,175,448.656,5
Player_092,41809,2915,12,3,33,439.27400000000006,6
Player_003,36654,10270,13,11,105,438.89200000000005,7
Player_088,36205,9829,12,9,124,435.998,8
Player_002,38104,6196,13,5,107,433.428,9
Player_001,36339,8024,16,7,120,427.519,10
Player_045,37981,4835,13,5,104,424.793,11
Player_077,35512,10446,13,9,81,423.55400000000003,12
Player_025,33160,13662,13,10,115,422.913,13
Player_032,37176,6783,13,7,79,421.481,14
Player_037,34625,9308,13,7,134,419.596,15
Player_099,34153,10007,10,10,132,417.96500000000003,16
Player_080,37723,4832,12,6,59,413.196,17
Player_053,35767,7077,14,6,73,407.663,18
Player_070,31808,14508,11,16,85,407.62,19
Player_064,35881,5321,13,5,89,403.223,20
Player_036,34394,8376,12,8,65,398.824,21
Player_078,31580,10346,11,9,142,395.932,22
Player_024,36648,2761,13,4,62,392.694,23
Player_023,33499,7800,16,8,71,388.198,24
Player_049,35132,2624,12,4,60,376.448,25
Player_087,31863,8342,11,7,75,375.344,26
Player_013,31550,6858,13,6,34,356.59700000000004,27
Player_079,32832,3314,12,3,43,353.499,28
Player_054,31197,3096,11,4,94,346.25700000000006,29
Player_019,28657,3602,10,5,154,335.385,30
Player_041,29209,6297,10,7,38,331.17800000000005,31
Player_035,27886,6408,8,6,94,329.70200000000006,32
Player_026,28269,5046,9,3,67,321.32599999999996,33
Player_014,26208,7235,11,6,96,317.46,34
Player_096,29512,1863,10,2,52,314.84299999999996,35
Player_098,26776,5286,11,6,96,313.395,36
Player_073,21572,12622,12,12,114,301.63,37
Player_060,27747,2120,13,2,63,300.6810000000001,38
Player_020,22155,8292,11,7,121,287.214,39
Player_029,22790,8744,10,8,76,286.822,40
Player_016,21197,10262,11,10,117,286.6809999999999,41
Player_062,24401,5906,10,6,63,286.144,42
Player_076,23468,4853,8,4,117,282.349,43
Player_061,21355,7970,10,7,95,272.403,44
Player_090,24303,2531,8,2,78,271.291,45
Player_047,22980,5102,9,4,63,267.915,46
Player_081,24392,2127,12,2,60,266.565,47
Player_050,22996,6197,7,4,28,266.548,48
Player_007,23293,3756,8,5,58,263.313,49
Player_058,20217,8193,12,8,66,256.339,50
Player_063,22795,2808,11,2,64,254.799,51
Player_094,17542,9770,11,8,141,252.473,52
Player_055,19175,7201,7,5,78,243.357,53
Player_082,16745,11673,6,9,74,240.61500000000004,54
Player_097,22203,2069,7,2,41,240.57999999999998,55
Player_039,17439,9265,11,8,90,238.71800000000002,56
Player_075,16148,8836,8,9,59,217.46,57
Player_066,17142,7676,5,7,24,214.60000000000002,58
Player_021,18280,4090,6,3,13,205.85299999999998,59
Player_093,17618,3967,5,3,39,203.81700000000004,60
Player_059,17220,3320,6,3,39,196.603,61
Player_089,16043,4184,7,4,54,192.15300000000002,62
Player_033,13031,7245,7,6,79,182.336,63
Player_056,13668,3333,6,4,26,158.547,64
Player_074,13746,2499,5,4,35,156.95600000000002,65
Player_008,12884,3954,8,6,29,154.41200000000003,66
Player_071,10151,7920,3,7,57,152.51000000000002,67
Player_038,11079,4657,5,4,86,151.276,68
Player_006,14263,1481,5,1,5,151.039,69
Player_011,11466,3975,4,3,48,144.136,70
Player_048,11584,4302,4,3,8,138.951,71
Player_072,11802,1817,6,3,50,137.108,72
Player_027,8762,5127,4,4,107,134.655,73
Player_005,12081,549,5,1,42,131.959,74
Player_084,11788,1393,5,1,31,131.049,75
Player_085,8806,3347,6,6,51,114.995,76
Player_017,10249,1880,6,2,15,114.89400000000002,77
Player_010,9606,1551,3,2,12,106.21600000000001,78
Player_022,9327,801,2,2,29,103.07499999999999,79
Player_091,7565,3496,2,4,36,100.33000000000001,80
Player_057,7403,3580,5,3,31,98.132,81
Player_004,7601,1967,3,2,54,96.646,82
Player_034,7178,3003,3,2,8,88.396,83
Player_042,7120,2724,2,2,12,87.22000000000001,84
Player_009,7488,996,3,1,26,85.062,85
Player_086,6527,1450,3,2,45,81.521,86
Player_067,7525,0,2,0,17,78.652,87
Player_069,4938,2276,2,2,61,72.96000000000001,88
Player_068,5248,2829,2,3,5,67.625,89
Player_040,5328,1307,3,2,35,66.816,90
Player_051,4479,0,2,0,63,57.392,91
Player_044,4161,1518,2,1,9,51.001,92
Player_012,2471,1331,1,2,87,48.765,93
Player_043,3999,363,3,1,23,46.407000000000004,94
Player_065,3647,610,2,1,23,44.120999999999995,95
Player_052,2515,1698,1,2,33,40.24,96
Player_031,678,5470,2,4,9,35.93,97
Player_095,1685,1905,2,3,36,33.575,98
Player_018,101,4356,1,4,29,28.590000000000003,99
Player_028,0,2614,0,3,15,16.07,100
